publish_date,weekday,week,slot,slot_job,brief_id,brief_file,output_file,research_file,working_h1,primary_query,cluster,content_type,status,researched_on,drafted_on,quality_passed_on,image_generated_on,reviewed_by,published_on,notes
2026-09-14,Mon,01,A,the money page,17,briefs/2026-09-14-production-roster-review-questions.md,output/production-roster-review-questions.md,research/production-roster-review-questions.md,Your production roster is consolidating. The 14 questions to ask now,production agency roster review checklist,Buying models,Money page,published,2026-09-09,2026-09-09,2026-09-09,2026-09-09,,2026-09-09,"Drafted 2026-09-09 ahead of the 09-14 slot, in the system's first run. Research gate passed with 9 claims cleared and 13 cut. Two brief angles (producer reporting lines, utilization-driven pricing) had no source and appear only as questions, never as findings. Judgment call flagged in the research file R8: the count of four reorganizations is retained rather than the safer variant. Hero 76KB."
2026-09-15,Tue,01,B,the spec page,01,briefs/2026-09-15-tmall-product-image-requirements.md,output/tmall-product-image-requirements.md,research/tmall-product-image-requirements.md,Tmall product image requirements: the complete 2026 spec sheet,tmall product image requirements,China specs,Spec page,published,2026-09-10,2026-09-10,2026-09-10,2026-09-10,,2026-09-10,"BLOCKED until the Qianniu (千牛) seller-backend capture session happens. See RUNBOOK, the blocking task. Do not draft a spec table from secondary sources to fill the slot. Modal-value method per deviation 7. Not primary. Hero. H1 and meta de-overclaimed. File cap and fill ratio published under deviation 7 with counts, superseding the brief's older ban."
2026-09-17,Thu,01,C,the operations page,23,briefs/2026-09-17-china-ai-labeling-rules-production-workflow.md,output/china-ai-labeling-rules-production-workflow.md,research/china-ai-labeling-rules-production-workflow.md,China's AI labeling rules: what your production workflow has to do,china ai content labeling rules for brands,Rights,Operations page,published,2026-09-09,2026-09-09,2026-09-09,2026-09-09,,2026-09-09,"Drafted 2026-09-09 ahead of the 09-17 slot. All 13 citations primary from the regulator's own text. Article 9 (unlabeled handover conditional on the user agreement plus six-month logs) is the spine of the handover section and is used by no ranking page. No fine figure anywhere, deliberately. Duty allocation uses 'generally treated as' throughout. Research corrected the brief: the export duty attaches to the explicit label, not the implicit one."
2026-09-18,Fri,01,D,the proof page,27,briefs/2026-09-18-shoot-it-or-generate-it.md,output/shoot-it-or-generate-it.md,research/shoot-it-or-generate-it.md,"Shoot it or generate it: the decision rule, asset by asset",when to shoot vs generate product images,Craft,Proof page,published,2026-09-09,2026-09-09,2026-09-09,2026-09-09,,2026-09-09,"Drafted 2026-09-09 ahead of the 09-18 slot. Research corrected three claims in the brief: the AI image production page publishes no ratio, the site never scopes 20/80 to variants, and the two published ratios count different things, so they are deliberately not merged. The 20/80 figure is absent from the draft for that reason. The 70/30 figure is used and labeled as a published catalog observation, TODO method statement recorded. Length runs to 2,090 body words against a 1,600 slot ceiling; flagged in the asset brief with a recommendation to revise the brief target rather than cut the nine primary citations."
2026-09-21,Mon,02,A,the money page,11,briefs/2026-09-21-what-a-finished-brand-asset-costs.md,output/what-a-finished-brand-asset-costs.md,research/what-a-finished-brand-asset-costs.md,What a finished brand asset actually costs in 2026,cost per creative asset benchmark,Cost,Money page,published,2026-09-09,2026-09-09,2026-09-09,2026-09-09,,2026-09-09,"FLAGSHIP. Drafted 2026-09-09. 12 primary citations, all read directly from published pricing pages one card at a time on 2026-09-09. Defines the unit before any number, because no trade body publishes a definition: three conventions disagree and the page shows the choice being made. Strongest finding: the production trade body's own standard bid form itemizes sections A to P and carries NO line for media usage. Second: the largest creative dataset in the category (578,750 creatives, 1.29B spend) reports volume and hit rate and no cost per asset. STILL TO DO: quality pass, hero image, and the 10 pricing-page captures listed in the research screenshot inventory (prices change without notice and every band depends on the 2026-09-09 state). DEPENDENCY: links to /resources/production-cost which is not built yet. R8 reconciled. Hero 152KB. BLOCKED ON PUBLISH: 10 pricing captures pending, and /resources/production-cost does not exist yet."
2026-09-22,Tue,02,B,the spec page,05,briefs/2026-09-22-douyin-video-specs-safe-zones.md,output/douyin-video-specs-safe-zones.md,research/douyin-video-specs-safe-zones.md,Douyin video specs and safe zones: why a TikTok cut fails,douyin video specifications aspect ratio safe zone,China specs,Spec page,researched,2026-09-10,,,,,,Modal-value method per deviation 7. Not primary.
2026-09-24,Thu,02,C,the operations page,24,briefs/2026-09-24-disclosure-audit-trail-per-asset.md,output/disclosure-audit-trail-per-asset.md,research/disclosure-audit-trail-per-asset.md,The disclosure audit trail: what a pipeline records per asset,ai content disclosure audit trail production,Rights,Operations page,published,2026-09-09,2026-09-09,2026-09-09,2026-09-09,,2026-09-09,Hero 174KB. Cut two unsupported frequency claims in the quality pass. Prose 2017w on a 2000w target.
2026-09-25,Fri,02,D,the proof page,10,briefs/2026-09-25-one-shoot-six-platforms-china-variant-matrix.md,output/one-shoot-six-platforms-china-variant-matrix.md,research/one-shoot-six-platforms-china-variant-matrix.md,"One shoot, six platforms: the China variant matrix",china social media creative asset variants,China specs,Linkable asset,not_started,,,,,,,
2026-09-28,Mon,03,A,the money page,18,briefs/2026-09-28-automation-platform-or-production-partner.md,output/automation-platform-or-production-partner.md,research/automation-platform-or-production-partner.md,"Automation multiplies, studios originate: platform or production partner",creative automation platform vs production studio,Buying models,Money page,published,2026-09-09,2026-09-09,2026-09-09,2026-09-09,,2026-09-09,"Research found the SERP worse than the brief assumed: 25 of 36 results vendor-published, and 'who makes the master creative' returns zero on-topic results. The argument is proved from the automation standard's own text: every creative component must define a fallback, so the defined behavior for a missing asset is substitution, never creation. Two claims cut for having no method anywhere: variants-per-campaign, and any volume crossover threshold. The page says so rather than implying a number exists. No platform named. CONTAINS DOLLAR FIGURES (category ranges with collection dates) which collides with the no-pricing-on-site rule: see the flag raised on 2026-09-09."
2026-09-29,Tue,03,B,the spec page,02,briefs/2026-09-29-tmall-white-background-image-rules.md,output/tmall-white-background-image-rules.md,research/tmall-white-background-image-rules.md,The white-background image: the Tmall rule most brands fail,tmall white background image rules,China specs,Spec page,researched,2026-09-10,,,,,,Modal-value method per deviation 7. Not primary.
2026-10-01,Thu,03,C,the operations page,26,briefs/2026-10-01-ai-brand-ambassadors-what-you-sign.md,output/ai-brand-ambassadors-what-you-sign.md,research/ai-brand-ambassadors-what-you-sign.md,AI brand ambassadors: what you actually sign,ai avatar likeness rights talent release,Rights,Operations page,published,2026-09-09,2026-09-10,2026-09-10,2026-09-10,,2026-09-10,"Hero. Clause map grouped 18 rows to 10. 927 stated as a test, never as a requirement."
2026-10-02,Fri,03,D,the proof page,28,briefs/2026-10-02-china-ecommerce-content-pack.md,output/china-ecommerce-content-pack.md,research/china-ecommerce-content-pack.md,"What a China ecommerce content pack contains, SKU by SKU",china ecommerce content pack deliverables,Craft,Proof page,researched,2026-09-10,,,,,,
